Make,Model,Vehicle Type,Vehicle Type NEW
ZERO MOTORCYCLES,SR/S STANDARD (BLUE),MOTORCYCLE,Motorcycle
FORD,STEP VAN,INCOMPLETE VEHICLE,Passenger Truck
MAZDA,MAZDA3,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
EAHORA,M1,MOTORCYCLE,Motorcycle
DODG,FIRE,INCOMPLETE VEHICLE,Refuse Truck
LAND ROVER,DISCOVERY 4X4,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
BETA,200RR,MOTORCYCLE,Motorcycle
BENELLI,302,MOTORCYCLE,Motorcycle
"FLEETWOOD ENTERPRISES, INC. (WESTPORT)",MC,TRAILER,Other
ENERGICA,EVA RIBELLE,MOTORCYCLE,Motorcycle
MAZDA,Q50,PASSENGER CAR,Passenger Car
BETA,300 X-TRAINER,MOTORCYCLE,Motorcycle
BUICK,CEN4D,PASSENGER CAR,Passenger Car
DODG,DUMP BED,INCOMPLETE VEHICLE,School Bus
CALIFORNIA MOTORCYCLE COMPANY (CMC),ROCKET 88,MOTORCYCLE,Motorcycle
PIAGGIO AND VESPA,P1A,MOTORCYCLE,Motorcycle
PLWY,ECONOLINE,INCOMPLETE VEHICLE,Single Unit Long-haul Truck
CHEV,GMT-500,INCOMPLETE VEHICLE,Single Unit Short-haul Truck
BUELL,XZB12SCG,MOTORCYCLE,Motorcycle
DODG,2PUT,INCOMPLETE VEHICLE,Transit Bus
YAMAHA,PW80,MOTORCYCLE,Motorcycle
HONDA,CBR1100,MOTORCYCLE,Motorcycle
GLOBAL MOTORSPORT GROUP,88 CC CYC,MOTORCYCLE,Motorcycle
YAMAHA,YFZ350 BANSHEE,MOTORCYCLE,Motorcycle
ZNEN,TANK 250,MOTORCYCLE,Motorcycle
BIG EASY CHOPPERS,BIG EASY CHOPPERS,MOTORCYCLE,Motorcycle
BETA,350,MOTORCYCLE,Motorcycle
POLYJOHN TRAILER,GLE-CLASS,TRAILER,Other
