Make,Model,Vehicle Type,Vehicle Type NEW
VOLVO,XC40,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
VOLVO,XC60,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
VOLVO,XC70,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
VOLVO,XC90,PASSENGER CAR,Passenger Car
VOLVO,XC90,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
YAMAHA,TW200,MOTORCYCLE,Motorcycle
YAMAHA,WR250,MOTORCYCLE,Motorcycle
YAMAHA,WR250R/WR250RC,MOTORCYCLE,Motorcycle
YAMAHA,XC125 VINO 125 / YJ125 (CANADA),MOTORCYCLE,Motorcycle
YAMAHA,XT1200 / SUPER TENERE,MOTORCYCLE,Motorcycle
YAMAHA,XVS1100 / V STAR 1100,MOTORCYCLE,Motorcycle
YAMAHA,XVS650 (V STAR 650),MOTORCYCLE,Motorcycle
YAMAHA,XVS950 BOLT,MOTORCYCLE,Motorcycle
YONGFU,YN50QT-2 / YN125-2 / YN150T-2 / YN250T-2 / YN300-2 ETC.,MOTORCYCLE,Motorcycle
ACURA,LEGEND,PASSENGER CAR,Passenger Car
ALFA ROMEO,GIULIA (952),PASSENGER CAR,Passenger Car
ALFA ROMEO,SPIDER,PASSENGER CAR,Passenger Car
APRILIA,RSV4 R,MOTORCYCLE,Motorcycle
AUDI,90,PASSENGER CAR,Passenger Car
AUDI,A7,PASSENGER CAR,Passenger Car
AUDI,RS3,PASSENGER CAR,Passenger Car
AUDI,S6,PASSENGER CAR,Passenger Car
AUDI,S7,PASSENGER CAR,Passenger Car
BMW,228I,PASSENGER CAR,Passenger Car
BMW,323IC,PASSENGER CAR,Passenger Car
BMW,325IS,PASSENGER CAR,Passenger Car
BMW,335IS,PASSENGER CAR,Passenger Car
BMW,525I,PASSENGER CAR,Passenger Car
BMW,530XI,PASSENGER CAR,Passenger Car
BMW,740LI,PASSENGER CAR,Passenger Car
BMW,750LXI,PASSENGER CAR,Passenger Car
BMW,I3,PASSENGER CAR,Passenger Car
BMW,M3CI,PASSENGER CAR,Passenger Car
BMW,X6,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
CADILLAC,CT6,PASSENGER CAR,Passenger Car
CADILLAC,ESCALADE ESV,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
CHEV,EXPRESS G1500,INCOMPLETE VEHICLE,Motor Home
CHEV,EXPRESS G3500,INCOMPLETE VEHICLE,Motor Home
CHEV,R3500,INCOMPLETE VEHICLE,Motor Home
CHEVROLET,CELEBRITY,PASSENGER CAR,Passenger Car
CHEVROLET,LUMINA APV,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
CHEVROLET,SUBURBAN,PASSENGER CAR,Passenger Car
CHRY,TOWN & COUNTRY,INCOMPLETE VEHICLE,Motor Home
CHRYSLER,CONCORDE,PASSENGER CAR,Passenger Car
CHRYSLER,PT CRUISER,PASSENGER CAR,Passenger Car
DODG,RAMPU,INCOMPLETE VEHICLE,Motor Home
DODG,W3PU,INCOMPLETE VEHICLE,Motor Home
