Record Type,Make,Body Type
VEH,LGC,RBM
VEH,LI/GI,TR/C
VEH,CHEVR,VAN
VEH,CHERV,2DSD
VEH,TOYOT,P/SH
VEH,TOYOT,SWT
VEH,TOYO,P/SH
VEH,CATEP,P/SH
VEH,RO/EN,MCY
VEH,ENFIE,MCY
VEH,HA/DA,ATV
VEH,ME/BE,SUBN
VEH,ME/BE,VAN
VEH,MERZ,VAN
VEH,SPRIN,VAN
VEH,ME/BE,H/WH
VEH,WINNE,H/WH
VEH,SUNSE,H/WH
VEH,FORES,H/WH
VEH,THOR,H/WH
VEH,ISATA,H/WH
VEH,SSK,H/WH
VEH,ITASC,H/WH
VEH,ME/BE,PICK
VEH,ME/BE,DELV
VEH,MAUCK,VAN
VEH,CHATE,H/WH
VEH,SU/SE,H/WH
VEH,LE/TR,H/WH
VEH,ME/BE,UTIL
VEH,MELBO,H/WH
VEH,FO/RI,H/WH
VEH,PRISM,H/WH
VEH,THGM,H/WH
VEH,OLDSM,SEDN
VEH,HARLE,MOPD
VEH,AMERI,4DSD
VEH,GENER,UTIL
VEH,BROOK,TRAC
VEH,KOEHR,UTIL
VEH,KOCHR,T/CR
VEH,EXCAL,2DSD
VEH,BROCK,PICK
VEH,PEUGE,MCY
VEH,SEDAN,4DSD
VEH,CITRO,CONV
VEH,SUBAR,2DSD
VEH,BI/WH,S/SP
VEH,JAG,4DSD
VEH,LOTUS,2DSD
VEH,RUPP,MCY
VEH,WE/ST,UTIL
VEH,INTE,SUBN
VEH,IHC,2DSD
VEH,INTL,2DSD
VEH,SCOUT,2DSD
VEH,OTTAW,TRAC
VEH,SCOUT,SUBN
VEH,JEEPS,CONV
VEH,INTL,UTIL
VEH,TMC,H/WH
VEH,SCAR,CONV
VEH,FORD,CUST
VEH,AUSTI,TAXI
VEH,WALKE,S/SP
VEH,STANL,4DSD
VEH,AMGEN,UTIL
VEH,HOMEM,CONV
VEH,JAMBO,H/WH
VEH,AMG,FIRE
VEH,AMG,PICK
VEH,PIAGG,MOPD
VEH,WALTE,SN/P
VEH,TRIUM,2DSD
VEH,IH,PICK
VEH,CUMMI,T/CR
VEH,MANIT,T/CR
VEH,WILYS,SUBN
VEH,MOGU,MCY
VEH,MORRI,CONV
VEH,DEMAG,TR/C
VEH,MOTRO,MCY
VEH,MOTOB,MCY
VEH,VESPA,MOPD
VEH,CITR,4DSD
VEH,ASVE,MCY
VEH,MACK,TRAC
VEH,TIOGA,H/WH
VEH,GMC,????
VEH,IHC,UTIL
VEH,OT/WA,TRAC
VEH,EXCAL,SEDN
VEH,WHITE,TRAC
VEH,MSNIT,SWT
VEH,GLS,CONV
VEH,TROJA,RBM
VEH,JA/RA,H/WH
VEH,TROJA,P/SH
VEH,TROJA,????
VEH,TORJA,RBM
VEH,MAXWE,SEDN
VEH,BATAV,MCY
VEH,KOBEL,P/SH
VEH,MERCE,CONV
VEH,AL/RO,CONV
VEH,ATTEX,ATV
VEH,CATTR,P/SH
VEH,INTER,????
VEH,INTER,TR/C
VEH,INTER,W/DR
VEH,INTER,FIRE
VEH,KUBOT,SWT
VEH,WHITE,DUMP
VEH,RAMBL,SUBN
VEH,MCI,H/WH
VEH,HENDR,TRAC
VEH,KUBOT,P/SH
VEH,ATHEY,RBM
VEH,CHAMP,RBM
VEH,CHAMP,P/SH
VEH,CATER,TR/E
VEH,MAXWE,4DSD
VEH,LIMA,TR/C
VEH,JAGU,4DSD
VEH,GMC,BUS
VEH,YOUNG,FIRE
VEH,LA/SE,MCY
VEH,CONDO,MCY
VEH,DODGE,SEDN
VEH,CADIL,LIM
VEH,MACK,UTIL
VEH,SEAGR,STAK
VEH,JAWA,MCY
VEH,REO,2DSD
VEH,FIAT,2DSD
VEH,WALTE,RBM
VEH,ROGER,TRLR
VEH,OAKLA,2DSD
VEH,CUSTO,FLAT
VEH,TIGER,RBM
VEH,DYNAP,R/RD
VEH,CHAMP,EMVR
VEH,WALTE,????
VEH,CUTT,CONV
VEH,WHITE,S/SP
VEH,CUSTO,ATV
VEH,POWER,RBM
VEH,MESSE,2DSD
VEH,DESOT,4DSD
VEH,ATHEY,P/SH
VEH,ATHEY,RD/S
VEH,MOBIL,RD/S
VEH,VELOS,MCY
VEH,EDSEL,CONV
VEH,ANGLI,2DSD
VEH,PENTO,MCY
VEH,LOTUS,CONV
VEH,NEWHO,P/SH
VEH,CHAMP,UTIL
VEH,MO/GR,UTIL
VEH,CATIL,RBM
VEH,CITRO,SEDN
VEH,ATHEY,EMVR
VEH,BMW,SEDN
VEH,INTER,TOW
VEH,INTER,S/SP
VEH,NEVAL,MCY
VEH,WALTE,DUMP
VEH,ATLAS,RBM
VEH,BROC,DUMP
VEH,CEMMI,????
VEH,FLAND,CONV
VEH,REO,4DSD
VEH,IHC,PICK
VEH,HUDSO,PICK
VEH,FWD,DUMP
VEH,LINK,TR/C
VEH,AM/LA,FLAT
VEH,SINGE,4DSD
VEH,CHANG,MCY
VEH,JAG,2DSD
VEH,GEHL,RBM
VEH,SACHS,MCY
VEH,INTER,P/SH
VEH,INTER,TANK
VEH,CHRYL,2DSD
VEH,CH/JI,MCY
VEH,JACOB,UTIL
VEH,JACOB,TRAC
VEH,JACOB,SWT
VEH,JACOB,S/SP
VEH,JACOB,RBM
VEH,JACOB,????
VEH,TEREX,T/CR
VEH,VOLVO,P/SH
VEH,MICHI,P/SH
VEH,OSHK,RBM
VEH,BMW,CONV
VEH,CHYRS,4DSD
VEH,JACOB,SN/P
VEH,KENWO,FIRE
VEH,LOTU,CONV
VEH,BUICK,PICK
VEH,LE/BO,RBM
VEH,ITASC,H/TR
VEH,KCM,P/SH
VEH,MERC,SUBN
VEH,CONT,2DSD
VEH,LIN,4DSD
VEH,LINC,CONV
VEH,LI,4DSD
VEH,LINCL,CONV
VEH,UBCO,MCY
VEH,UBCO,MOPD
VEH,RYVID,MCY
VEH,FOR,CONV
VEH,OTHER,MCY
VEH,FL/EB,MCY
VEH,FLYE,MCY
VEH,FLYEB,MCY
VEH,FL/E,MCY
VEH,FL/EB,MOPD
VEH,FLYBI,MCY
VEH,FLY,MCY
VEH,EBIKE,MCY
VEH,FL/BI,MCY
VEH,FL/BE,MCY
VEH,FLY,MOPD
VEH,FLYBI,MOPD
VEH,FL/BI,MOPD
VEH,LION,BUS
VEH,GEM,LSV
VEH,POLAR,LSV
VEH,OTHER,SUBN
VEH,POLAR,4DSD
VEH,OTHER,4DSD
VEH,TOYOT,SUBN
VEH,TESLA,SUBN
VEH,TESLA,4DSD
VEH,TESLA,TAXI
VEH,TESLA,2DSD
VEH,TESLA,SEDN
VEH,CITC,LSV
VEH,BINTE,LSV
VEH,FOD,2DSD
VEH,HILLM,4DSD
VEH,RIVIA,SUBN
VEH,RVN,SUBN
VEH,RIVIN,SUBN
VEH,RIV,SUBN
VEH,RIVA,SUBN
VEH,LAND,MCY
VEH,ZGGY,MOPD
VEH,ZIGGY,MCY
VEH,ZIGGY,MOPD
VEH,HDK,LSV
VEH,TOYOT,4DSD
VEH,TOYOT,SEDN
VEH,MAZDA,SUBN
VEH,MAZDA,DELV
VEH,PEERL,4DSD
VEH,LIBER,4DSD
VEH,BUIC,2DSD
VEH,VANDE,MCY
VEH,VNRL,MCY
VEH,VAND,MCY
VEH,AMPER,MOPD
VEH,PROTE,BUS
VEH,VOLVO,4DSD
VEH,VOLVO,SEDN
VEH,VOLVO,SUBN
VEH,HINO,TRAC
VEH,PLYM,2DSD
VEH,GALAX,CONV
VEH,TESLA,PICK
VEH,GMC,VAN
VEH,GMC,UTIL
VEH,UNICE,VAN
VEH,BAYBR,VAN
VEH,ROC,VAN
VEH,BAYBR,DELV
VEH,GMC,SUBN
VEH,MI/BI,BUS
VEH,THOMA,BUS
VEH,GMC,2DSD
VEH,SAVAN,VAN
VEH,GMC,H/WH
VEH,GMC,SWT
VEH,CHEVR,BUS
VEH,MICRO,BUS
VEH,GM,VAN
VEH,GMC,REFG
VEH,CATEP,EMVR
VEH,ARCIM,MCY
VEH,ARCIN,MCY
VEH,INV,MCY
VEH,AMIC,MCY
