Record Type,Make,Body Type,Vehicle Category
VEH,SUNBE,MCY,Motorcycle
VEH,WHITE,TR/C,Refuse Truck
VEH,MEBE,CONV,Light Commercial Truck
VEH,MEBE,2DSD,Other Buses
VEH,LEBOY,RBM,Single Unit Short-haul Truck
VEH,NOTON,MCY,Motorcycle
VEH,NOTN,MCY,Motorcycle
VEH,NORT,MCY,Motorcycle
VEH,FIAT,RBM,Single Unit Short-haul Truck
VEH,AM/GE,UTIL,Transit Bus
VEH,AM/GE,FLAT,Combination Short-haul Truck
VEH,KAWAS,EMVR,Passenger Car
VEH,RAMB,CONV,Light Commercial Truck
VEH,GRADA,RBM,Single Unit Short-haul Truck
VEH,DODGE,FLAT,Combination Short-haul Truck
VEH,CADIL,CONV,Light Commercial Truck
VEH,CADIL,2DSD,Other Buses
VEH,MOFFE,P/SH,Motor Home
VEH,AUSTI,R/RD,Passenger Truck
VEH,AUSWE,R/RD,Passenger Truck
VEH,ST/BA,PICK,Passenger Truck
VEH,OLDSM,SUBN,Combination Short-haul Truck
VEH,CADI,4DSD,Combination Long-haul Truck
VEH,TIGER,EMVR,Passenger Car
VEH,BATAV,MOPD,Light Commercial Truck
VEH,PACER,MOPD,Light Commercial Truck
VEH,DODG,PICK,Passenger Truck
VEH,EIN,PICK,Passenger Truck
VEH,CHYRS,2DSD,Other Buses
VEH,CHRY,2DSD,Other Buses
VEH,LAMBR,MOPD,Light Commercial Truck
VEH,DEMAG,T/CR,Single Unit Short-haul Truck
VEH,MANCO,ATV,Refuse Truck
VEH,GAZ,4DSD,Combination Long-haul Truck
VEH,AUSTI,SUBN,Combination Short-haul Truck
VEH,INTER,UTIL,Transit Bus
VEH,CASE,R/RD,Passenger Truck
VEH,CADDI,CONV,Light Commercial Truck
VEH,AG/CH,S/SP,Combination Short-haul Truck
VEH,OSHKO,????,Motorcycle
VEH,DODGE,UTIL,Transit Bus
VEH,VOLKS,CONV,Light Commercial Truck
VEH,STAK,STAK,Combination Long-haul Truck
VEH,MOFFE,SWT,Single Unit Long-haul Truck
VEH,STUD,2DSD,Other Buses
VEH,DODGE,DUMP,School Bus
VEH,CLEVE,MCY,Motorcycle
VEH,STU,2DSD,Other Buses
VEH,STUDA,2DSD,Other Buses
VEH,BSA,MCY,Motorcycle
VEH,CADI,2DSD,Other Buses
VEH,PONTI,SUBN,Combination Short-haul Truck
VEH,PONT,4DSD,Combination Long-haul Truck
VEH,JETST,CONV,Light Commercial Truck
VEH,IHC,DUMP,School Bus
VEH,CHRYS,SEDN,Single Unit Long-haul Truck
VEH,GLSC,CONV,Light Commercial Truck
VEH,PEUGE,4DSD,Combination Long-haul Truck
VEH,BROCK,SEMI,Passenger Truck
VEH,KAIS,2DSD,Other Buses
VEH,LAMBO,2DSD,Other Buses
VEH,FRANK,CONV,Light Commercial Truck
VEH,JEEPS,SUBN,Combination Short-haul Truck
VEH,AMC,SUBN,Combination Short-haul Truck
VEH,AMER,SUBN,Combination Short-haul Truck
VEH,KAIS,SEDN,Single Unit Long-haul Truck
VEH,JEEP,4DSD,Combination Long-haul Truck
VEH,TERRA,S/SP,Combination Short-haul Truck
VEH,KTM,ATV,Refuse Truck
VEH,AM/GE,TANK,Other Buses
VEH,TO/MO,SWT,Single Unit Long-haul Truck
VEH,AM/GE,TRAC,Passenger Car
VEH,FIBER,CONV,Light Commercial Truck
VEH,HUBER,R/RD,Passenger Truck
VEH,LANCI,2DSD,Other Buses
VEH,MICHI,EMVR,Passenger Car
VEH,VOLKS,UTIL,Transit Bus
VEH,REO,FIRE,Light Commercial Truck
VEH,DODGE,TANK,Other Buses
VEH,LANCI,CONV,Light Commercial Truck
VEH,NE/HO,TRAC,Passenger Car
VEH,PONT,SEDN,Single Unit Long-haul Truck
VEH,POTI,CONV,Light Commercial Truck
VEH,DODG,2DSD,Other Buses
VEH,KTM,MCY,Motorcycle
VEH,AMERI,TANK,Other Buses
VEH,GROVE,T/CR,Single Unit Short-haul Truck
VEH,JAG,CONV,Light Commercial Truck
VEH,LANC,2DSD,Other Buses
VEH,LNCI,2DSD,Other Buses
VEH,LANCI,4DSD,Combination Long-haul Truck
VEH,DODGE,CONV,Light Commercial Truck
VEH,GREEV,MCY,Motorcycle
VEH,LAMBE,MCY,Motorcycle
VEH,ALFA,CONV,Light Commercial Truck
VEH,DODGE,SEMI,Passenger Truck
VEH,DAYTO,CONV,Light Commercial Truck
VEH,AM/LA,2DSD,Other Buses
VEH,COMMA,2DSD,Other Buses
VEH,DODGE,TOW,Transit Bus
VEH,DODGE,FIRE,Light Commercial Truck
VEH,FORD,P/SH,Motor Home
VEH,AMERI,FIRE,Light Commercial Truck
VEH,AM/LA,FIRE,Light Commercial Truck
VEH,INTER,DUMP,School Bus
VEH,PIERC,4DSD,Combination Long-haul Truck
VEH,SEARS,MCY,Motorcycle
VEH,PI/AR,CONV,Light Commercial Truck
VEH,AUST,CONV,Light Commercial Truck
VEH,INTL,DUMP,School Bus
VEH,CORD,4DSD,Combination Long-haul Truck
VEH,AUBUR,2DSD,Other Buses
VEH,CATAP,REFG,Refuse Truck
VEH,OSHKO,FLAT,Combination Short-haul Truck
VEH,KUBTA,P/SH,Motor Home
VEH,BROCK,TR/C,Refuse Truck
VEH,WA/LA,UTIL,Transit Bus
VEH,KUBOT,TRAC,Passenger Car
VEH,BL/KN,RBM,Single Unit Short-haul Truck
VEH,GILER,MCY,Motorcycle
VEH,COACH,H/WH,Motor Home
VEH,SUPIE,RD/S,School Bus
VEH,EXCAL,CONV,Light Commercial Truck
VEH,VELOS,MOPD,Light Commercial Truck
VEH,INGER,R/RD,Passenger Truck
VEH,LAFRA,FIRE,Light Commercial Truck
VEH,GRADE,RBM,Single Unit Short-haul Truck
VEH,BROCW,VAN,Motor Home
VEH,GMC,DELV,Combination Long-haul Truck
VEH,KM,P/SH,Motor Home
VEH,CADDI,2DSD,Other Buses
VEH,INTNL,2DSD,Other Buses
VEH,JUNAK,MCY,Motorcycle
VEH,TORO,RBM,Single Unit Short-haul Truck
VEH,WILLY,SEDN,Single Unit Long-haul Truck
VEH,DODGE,DELV,Combination Long-haul Truck
VEH,PI/AR,4DSD,Combination Long-haul Truck
VEH,TORO,UTIL,Transit Bus
VEH,OLICR,????,Motorcycle
VEH,WARD,FIRE,Light Commercial Truck
VEH,KIM,P/SH,Motor Home
VEH,OLIVE,????,Motorcycle
VEH,WA/LA,FIRE,Light Commercial Truck
VEH,RIVOL,4DSD,Combination Long-haul Truck
VEH,ALLIS,TRAC,Passenger Car
VEH,FIAT,CONV,Light Commercial Truck
VEH,TENNA,RD/S,School Bus
VEH,CHRYS,UTIL,Transit Bus
VEH,DELAH,2DSD,Other Buses
VEH,HO/AS,2DSD,Other Buses
VEH,AMERI,FLAT,Combination Short-haul Truck
VEH,MERC,4DSD,Combination Long-haul Truck
VEH,CAT,EMVR,Passenger Car
VEH,CONTI,2DSD,Other Buses
